area_code,year,youth_employment_rate
IT,2004.0,27.261452
IT,2005.0,25.464242
IT,2006.0,25.290962
IT,2007.0,24.530991
IT,2008.0,24.216757
IT,2009.0,21.449774
IT,2010.0,20.193085
IT,2011.0,19.184349
IT,2012.0,18.444324
IT,2013.0,16.271337
IT,2014.0,15.542974
IT,2015.0,15.601417
IT,2016.0,16.528869
IT,2017.0,17.05553
IT,2018.0,24.339305
IT,2019.0,25.937012
IT,2020.0,21.515107
IT,2021.0,24.907965
IT,2022.0,28.563532
IT,2023.0,29.206629
IT,2024.0,29.921564
IT,2025.0,26.115943
IT108,2018.0,18.246105
IT108,2019.0,15.173375
IT108,2020.0,15.987522
IT108,2021.0,17.415374
IT108,2022.0,20.162527
IT108,2023.0,19.209322
IT108,2024.0,17.70742
IT108,2025.0,17.490122
IT109,2018.0,23.894632
IT109,2019.0,21.81773
IT109,2020.0,17.215569
IT109,2021.0,21.241871
IT109,2022.0,24.228346
IT109,2023.0,23.039059
IT109,2024.0,22.516599
IT109,2025.0,20.51061
IT110,2018.0,11.361189
IT110,2019.0,11.39674
IT110,2020.0,12.977011
IT110,2021.0,20.083206
IT110,2022.0,23.715703
IT110,2023.0,18.382422
IT110,2024.0,18.51021
IT110,2025.0,19.750073
IT111,2018.0,16.150147
IT111,2019.0,12.23565
IT111,2020.0,12.133906
IT111,2021.0,14.948472
IT111,2022.0,15.462588
IT111,2023.0,17.865112
IT111,2024.0,16.360607
IT111,2025.0,14.592058
ITC,2004.0,35.976964
ITC,2005.0,33.78825
ITC,2006.0,32.435933
ITC,2007.0,31.287744
ITC,2008.0,30.724187
ITC,2009.0,27.143405
ITC,2010.0,25.054044
ITC,2011.0,23.90742
ITC,2012.0,23.016848
ITC,2013.0,20.372904
ITC,2014.0,19.36277
ITC,2015.0,18.837261
ITC,2016.0,19.43438
ITC,2017.0,20.373772
ITC,2018.0,31.453283
ITC,2019.0,31.845177
ITC,2020.0,26.410924
ITC,2021.0,28.312831
ITC,2022.0,35.388048
ITC,2023.0,35.558557
ITC,2024.0,35.94777
ITC,2025.0,29.144066
ITC1,2018.0,20.705267
ITC1,2019.0,20.905239
ITC1,2020.0,20.440931
ITC1,2021.0,21.22906
ITC1,2022.0,22.292849
ITC1,2023.0,21.254978
ITC1,2024.0,22.563481
ITC1,2025.0,20.147115
ITC11,2018.0,20.119094
ITC11,2019.0,19.271023
ITC11,2020.0,15.841808
ITC11,2021.0,18.876502
ITC11,2022.0,19.3372
ITC11,2023.0,17.886071
ITC11,2024.0,21.504688
ITC11,2025.0,17.262339
ITC12,2018.0,19.481921
ITC12,2019.0,23.276867
ITC12,2020.0,25.782219
ITC12,2021.0,20.272231
ITC12,2022.0,26.094838
ITC12,2023.0,27.934078
ITC12,2024.0,21.701662
ITC12,2025.0,19.21003
ITC13,2018.0,16.508994
ITC13,2019.0,21.284209
ITC13,2020.0,22.928709
ITC13,2021.0,17.936405
ITC13,2022.0,22.957361
ITC13,2023.0,23.755912
ITC13,2024.0,30.337824
ITC13,2025.0,29.695516
ITC14,2018.0,21.765048
ITC14,2019.0,21.353219
ITC14,2020.0,20.306931
ITC14,2021.0,15.229465
ITC14,2022.0,26.189074
ITC14,2023.0,24.759075
ITC14,2024.0,24.202857
ITC14,2025.0,25.923783
ITC15,2018.0,16.997629
ITC15,2019.0,12.86516
ITC15,2020.0,18.39654
ITC15,2021.0,17.708001
ITC15,2022.0,22.053644
ITC15,2023.0,25.238749
ITC15,2024.0,20.136361
ITC15,2025.0,20.138057
ITC16,2018.0,28.257116
ITC16,2019.0,29.250784
ITC16,2020.0,33.517838
ITC16,2021.0,34.425586
ITC16,2022.0,31.46837
ITC16,2023.0,28.155151
ITC16,2024.0,24.043119
ITC16,2025.0,26.24855
ITC17,2018.0,15.16357
ITC17,2019.0,19.954649
ITC17,2020.0,20.800338
ITC17,2021.0,17.179678
ITC17,2022.0,19.120478
ITC17,2023.0,20.064439
ITC17,2024.0,24.531129
ITC17,2025.0,20.033956
ITC18,2018.0,20.373454
ITC18,2019.0,23.489015
ITC18,2020.0,24.084503
ITC18,2021.0,23.271106
ITC18,2022.0,23.073386
ITC18,2023.0,21.165697
ITC18,2024.0,24.028118
ITC18,2025.0,21.370548
ITC2,2018.0,22.712334
ITC2,2019.0,22.436173
ITC2,2020.0,18.760713
ITC2,2021.0,20.202622
ITC2,2022.0,24.676642
ITC2,2023.0,25.668673
ITC2,2024.0,26.79089
ITC2,2025.0,24.449718
ITC20,2018.0,22.712334
ITC20,2019.0,22.436173
ITC20,2020.0,18.760713
ITC20,2021.0,20.202622
ITC20,2022.0,24.676642
ITC20,2023.0,25.668673
ITC20,2024.0,26.79089
ITC20,2025.0,24.449718
ITC3,2018.0,16.262714
ITC3,2019.0,16.478001
ITC3,2020.0,14.542493
ITC3,2021.0,17.541224
ITC3,2022.0,21.739831
ITC3,2023.0,23.625312
ITC3,2024.0,20.713833
ITC3,2025.0,21.272847
ITC31,2018.0,15.133084
ITC31,2019.0,20.028506
ITC31,2020.0,10.418171
ITC31,2021.0,12.83559
ITC31,2022.0,20.881479
ITC31,2023.0,26.122092
ITC31,2024.0,25.250218
ITC31,2025.0,22.861931
ITC32,2018.0,17.301976
ITC32,2019.0,20.03079
ITC32,2020.0,16.792839
ITC32,2021.0,19.235236
ITC32,2022.0,27.922918
ITC32,2023.0,21.898804
ITC32,2024.0,17.542746
ITC32,2025.0,17.15209
ITC33,2018.0,15.230887
ITC33,2019.0,14.717407
ITC33,2020.0,15.013382
ITC33,2021.0,19.137428
ITC33,2022.0,21.005992
ITC33,2023.0,23.865584
ITC33,2024.0,19.226916
ITC33,2025.0,24.044407
ITC34,2018.0,20.013279
ITC34,2019.0,15.155084
ITC34,2020.0,14.071104
ITC34,2021.0,13.689145
ITC34,2022.0,17.579346
ITC34,2023.0,22.419119
ITC34,2024.0,26.004512
ITC34,2025.0,14.206809
ITC4,2018.0,23.079914
ITC4,2019.0,24.135676
ITC4,2020.0,21.178471
ITC4,2021.0,21.595993
ITC4,2022.0,24.656298
ITC4,2023.0,25.408188
ITC4,2024.0,24.423185
ITC4,2025.0,22.896405
ITC41,2018.0,24.080894
ITC41,2019.0,21.263692
ITC41,2020.0,17.684763
ITC41,2021.0,24.041336
ITC41,2022.0,26.836831
ITC41,2023.0,24.029
ITC41,2024.0,21.094015
ITC41,2025.0,23.559676
ITC42,2018.0,23.092946
ITC42,2019.0,21.423597
ITC42,2020.0,17.551332
ITC42,2021.0,23.331207
ITC42,2022.0,27.526719
ITC42,2023.0,23.049343
ITC42,2024.0,23.981573
ITC42,2025.0,22.400809
ITC43,2018.0,24.713514
ITC43,2019.0,25.464615
ITC43,2020.0,26.583832
ITC43,2021.0,23.856689
ITC43,2022.0,28.376858
ITC43,2023.0,28.263954
ITC43,2024.0,21.668712
ITC43,2025.0,21.448872
ITC44,2018.0,28.749929
ITC44,2019.0,33.062315
ITC44,2020.0,34.12166
ITC44,2021.0,30.23524
ITC44,2022.0,24.926854
ITC44,2023.0,30.164123
ITC44,2024.0,23.648298
ITC44,2025.0,30.388109
ITC45,2018.0,19.340127
ITC45,2019.0,21.246011
ITC45,2020.0,18.389108
ITC45,2021.0,19.071667
ITC45,2022.0,21.853827
ITC45,2023.0,23.234907
ITC45,2024.0,22.553056
ITC45,2025.0,18.260219
ITC46,2018.0,27.109113
ITC46,2019.0,28.473627
ITC46,2020.0,26.54187
ITC46,2021.0,24.438706
ITC46,2022.0,27.486913
ITC46,2023.0,30.22327
ITC46,2024.0,28.175196
ITC46,2025.0,28.487082
ITC47,2018.0,27.502501
ITC47,2019.0,31.826482
ITC47,2020.0,25.90083
ITC47,2021.0,20.36707
ITC47,2022.0,27.158715
ITC47,2023.0,30.149532
ITC47,2024.0,31.607135
ITC47,2025.0,30.112805
ITC48,2018.0,24.589068
ITC48,2019.0,26.61157
ITC48,2020.0,22.539301
ITC48,2021.0,21.633047
ITC48,2022.0,22.503232
ITC48,2023.0,22.437707
ITC48,2024.0,20.875853
ITC48,2025.0,22.958915
ITC49,2018.0,25.423077
ITC49,2019.0,25.433718
ITC49,2020.0,18.008192
ITC49,2021.0,24.832122
ITC49,2022.0,27.738629
ITC49,2023.0,24.390903
ITC49,2024.0,19.662147
ITC49,2025.0,16.90233
ITC4A,2018.0,25.957619
ITC4A,2019.0,25.544119
ITC4A,2020.0,21.742772
ITC4A,2021.0,31.360385
ITC4A,2022.0,30.183993
ITC4A,2023.0,33.012597
ITC4A,2024.0,32.764844
ITC4A,2025.0,25.92304
ITC4B,2018.0,24.252483
ITC4B,2019.0,28.180077
ITC4B,2020.0,24.646326
ITC4B,2021.0,22.178069
ITC4B,2022.0,24.161694
ITC4B,2023.0,25.99621
ITC4B,2024.0,29.872838
ITC4B,2025.0,29.986875
ITCD,2004.0,37.126034
ITCD,2005.0,35.060347
ITCD,2006.0,33.916213
ITCD,2007.0,32.492549
ITCD,2008.0,31.739138
ITCD,2009.0,28.046668
ITCD,2010.0,25.922246
ITCD,2011.0,24.790687
ITCD,2012.0,23.72936
ITCD,2013.0,20.893376
ITCD,2014.0,20.324441
ITCD,2015.0,19.579906
ITCD,2016.0,20.694972
ITCD,2017.0,21.8773
ITCD,2018.0,32.536466
ITCD,2019.0,33.018868
ITCD,2020.0,25.771299
ITCD,2021.0,30.18343
ITCD,2022.0,34.504442
ITCD,2023.0,36.323866
ITCD,2024.0,36.784567
ITCD,2025.0,30.192427
ITD,2004.0,38.737383
ITD,2005.0,36.841576
ITD,2006.0,35.979297
ITD,2007.0,34.162557
ITD,2008.0,33.13756
ITD,2009.0,29.284356
ITD,2010.0,27.109368
ITD,2011.0,25.99935
ITD,2012.0,24.704511
ITD,2013.0,21.604736
ITD,2014.0,21.636833
ITD,2015.0,20.592041
ITD,2016.0,22.411462
ITD,2017.0,23.924549
ITD,2018.0,34.049536
ITD,2019.0,34.566726
ITD,2020.0,24.985453
ITD,2021.0,32.498964
ITD,2022.0,33.473834
ITD,2023.0,37.325413
ITD,2024.0,37.795661
ITD,2025.0,31.479172
ITD1,2018.0,35.415636
ITD1,2019.0,38.246014
ITD1,2020.0,35.899135
ITD1,2021.0,36.275753
ITD1,2022.0,39.297379
ITD1,2023.0,36.347458
ITD1,2024.0,33.263361
ITD1,2025.0,29.909504
ITD2,2018.0,26.251891
ITD2,2019.0,27.331802
ITD2,2020.0,25.708844
ITD2,2021.0,26.817402
ITD2,2022.0,29.256939
ITD2,2023.0,29.522766
ITD2,2024.0,27.340257
ITD2,2025.0,26.280385
ITD3,2018.0,22.986773
ITD3,2019.0,25.488193
ITD3,2020.0,22.171788
ITD3,2021.0,22.227199
ITD3,2022.0,26.765344
ITD3,2023.0,28.974774
ITD3,2024.0,24.011823
ITD3,2025.0,22.909698
ITD31,2018.0,20.022202
ITD31,2019.0,26.700724
ITD31,2020.0,20.971614
ITD31,2021.0,19.010557
ITD31,2022.0,22.706982
ITD31,2023.0,25.539742
ITD31,2024.0,21.704868
ITD31,2025.0,15.528292
ITD32,2018.0,22.569622
ITD32,2019.0,28.039249
ITD32,2020.0,22.56373
ITD32,2021.0,25.420664
ITD32,2022.0,26.161167
ITD32,2023.0,31.34939
ITD32,2024.0,29.057079
ITD32,2025.0,26.499747
ITD33,2018.0,27.876957
ITD33,2019.0,28.494827
ITD33,2020.0,24.91577
ITD33,2021.0,27.826271
ITD33,2022.0,23.415993
ITD33,2023.0,27.954869
ITD33,2024.0,31.378641
ITD33,2025.0,21.626859
ITD34,2018.0,27.993089
ITD34,2019.0,26.606038
ITD34,2020.0,29.764677
ITD34,2021.0,27.733492
ITD34,2022.0,29.945076
ITD34,2023.0,31.945304
ITD34,2024.0,24.545966
ITD34,2025.0,25.527604
ITD35,2018.0,24.241519
ITD35,2019.0,25.366901
ITD35,2020.0,21.199047
ITD35,2021.0,18.728029
ITD35,2022.0,29.166719
ITD35,2023.0,24.608546
ITD35,2024.0,14.759722
ITD35,2025.0,23.019002
ITD36,2018.0,19.388839
ITD36,2019.0,21.09366
ITD36,2020.0,16.18061
ITD36,2021.0,17.385967
ITD36,2022.0,25.962194
ITD36,2023.0,31.293148
ITD36,2024.0,27.317533
ITD36,2025.0,23.336523
ITD37,2018.0,22.560435
ITD37,2019.0,20.545892
ITD37,2020.0,19.566849
ITD37,2021.0,28.168311
ITD37,2022.0,31.037243
ITD37,2023.0,28.532609
ITD37,2024.0,24.580947
ITD37,2025.0,27.100764
ITD4,2018.0,19.525621
ITD4,2019.0,21.673305
ITD4,2020.0,21.933627
ITD4,2021.0,23.519265
ITD4,2022.0,22.710731
ITD4,2023.0,23.936684
ITD4,2024.0,22.580144
ITD4,2025.0,22.110995
ITD41,2018.0,25.307468
ITD41,2019.0,29.319781
ITD41,2020.0,31.296562
ITD41,2021.0,25.229326
ITD41,2022.0,21.697985
ITD41,2023.0,24.118703
ITD41,2024.0,20.560624
ITD41,2025.0,20.392517
ITD42,2018.0,17.623811
ITD42,2019.0,19.067954
ITD42,2020.0,17.119512
ITD42,2021.0,24.724525
ITD42,2022.0,24.568771
ITD42,2023.0,23.738918
ITD42,2024.0,22.558742
ITD42,2025.0,23.070205
ITD43,2018.0,16.951591
ITD43,2019.0,20.36464
ITD43,2020.0,20.541835
ITD43,2021.0,17.528619
ITD43,2022.0,21.156134
ITD43,2023.0,27.013093
ITD43,2024.0,27.123928
ITD43,2025.0,23.936996
ITD44,2018.0,16.413478
ITD44,2019.0,17.424603
ITD44,2020.0,20.368427
ITD44,2021.0,21.875489
ITD44,2022.0,20.81899
ITD44,2023.0,22.155101
ITD44,2024.0,22.778684
ITD44,2025.0,21.29709
ITD5,2018.0,23.608617
ITD5,2019.0,24.4868
ITD5,2020.0,21.594474
ITD5,2021.0,20.414778
ITD5,2022.0,23.725393
ITD5,2023.0,25.113022
ITD5,2024.0,25.358424
ITD5,2025.0,20.873839
ITD51,2018.0,24.529915
ITD51,2019.0,24.773534
ITD51,2020.0,19.484297
ITD51,2021.0,19.793372
ITD51,2022.0,25.111384
ITD51,2023.0,28.308795
ITD51,2024.0,34.499128
ITD51,2025.0,29.668073
ITD52,2018.0,24.141344
ITD52,2019.0,21.112576
ITD52,2020.0,19.25222
ITD52,2021.0,21.94417
ITD52,2022.0,20.48727
ITD52,2023.0,25.942478
ITD52,2024.0,27.258779
ITD52,2025.0,24.550146
ITD53,2018.0,24.904093
ITD53,2019.0,26.636905
ITD53,2020.0,24.66905
ITD53,2021.0,21.241284
ITD53,2022.0,26.608937
ITD53,2023.0,28.046526
ITD53,2024.0,20.918989
ITD53,2025.0,19.460903
ITD54,2018.0,22.177959
ITD54,2019.0,25.827351
ITD54,2020.0,23.602343
ITD54,2021.0,20.026473
ITD54,2022.0,30.05857
ITD54,2023.0,27.721519
ITD54,2024.0,27.504969
ITD54,2025.0,12.598538
ITD55,2018.0,24.366302
ITD55,2019.0,21.547767
ITD55,2020.0,18.308003
ITD55,2021.0,15.886142
ITD55,2022.0,19.604973
ITD55,2023.0,23.326751
ITD55,2024.0,22.415449
ITD55,2025.0,16.614067
ITD56,2018.0,18.682735
ITD56,2019.0,27.131961
ITD56,2020.0,27.079799
ITD56,2021.0,22.604668
ITD56,2022.0,18.501529
ITD56,2023.0,28.467969
ITD56,2024.0,23.363548
ITD56,2025.0,28.973983
ITD57,2018.0,20.309044
ITD57,2019.0,23.43995
ITD57,2020.0,19.864708
ITD57,2021.0,24.392171
ITD57,2022.0,25.083698
ITD57,2023.0,23.090155
ITD57,2024.0,26.719524
ITD57,2025.0,22.454186
ITD58,2018.0,26.293972
ITD58,2019.0,30.116335
ITD58,2020.0,25.262713
ITD58,2021.0,24.620424
ITD58,2022.0,26.778471
ITD58,2023.0,24.454783
ITD58,2024.0,25.065814
ITD58,2025.0,23.724933
ITD59,2018.0,25.729524
ITD59,2019.0,23.184283
ITD59,2020.0,19.250851
ITD59,2021.0,20.306025
ITD59,2022.0,20.040285
ITD59,2023.0,16.306156
ITD59,2024.0,26.628319
ITD59,2025.0,28.762884
ITDA,2018.0,30.959286
ITDA,2019.0,32.93218
ITDA,2020.0,30.922162
ITDA,2021.0,31.654738
ITDA,2022.0,34.389951
ITDA,2023.0,33.006912
ITDA,2024.0,30.359593
ITDA,2025.0,28.126509
ITE,2004.0,27.220636
ITE,2005.0,25.274081
ITE,2006.0,25.990914
ITE,2007.0,25.418485
ITE,2008.0,25.27893
ITE,2009.0,22.822202
ITE,2010.0,21.183539
ITE,2011.0,19.943427
ITE,2012.0,18.786872
ITE,2013.0,16.482202
ITE,2014.0,15.566904
ITE,2015.0,16.482567
ITE,2016.0,17.025181
ITE,2017.0,17.651203
ITE,2018.0,19.590564
ITE,2019.0,24.191555
ITE,2020.0,22.345191
ITE,2021.0,27.19048
ITE,2022.0,29.579046
ITE,2023.0,28.864363
ITE,2024.0,27.771139
ITE,2025.0,29.503441
ITE1,2018.0,19.731606
