area_code,year,traffic_congestion
2,2001,8.5
2,2002,8.0
2,2003,7.0
2,2005,7.4
2,2006,7.3
2,2007,7.5
2,2008,8.4
2,2009,6.5
2,2010,7.4
2,2011,7.1
2,2012,6.1
2,2013,7.8
2,2014,5.6
2,2015,7.7
2,2016,7.7
2,2017,8.6
2,2018,7.5
2,2019,10.0
2,2020,8.4
2,2021,7.5
2,2022,7.0
2,2023,9.4
2,2024,8.7
3,2001,15.2
3,2002,12.5
3,2003,14.3
3,2005,13.7
3,2006,16.4
3,2007,13.0
3,2008,13.8
3,2009,13.3
3,2010,13.6
3,2011,11.1
3,2012,14.2
3,2013,11.4
3,2014,10.0
3,2015,13.5
3,2016,14.6
3,2017,15.4
3,2018,14.8
3,2019,16.3
3,2020,14.3
3,2021,14.5
3,2022,14.2
3,2023,15.8
3,2024,16.2
6,2001,10.5
6,2002,12.0
6,2003,15.1
6,2005,14.7
6,2006,9.6
6,2007,14.9
6,2008,11.6
6,2009,15.2
6,2010,11.5
6,2011,16.4
6,2012,12.7
6,2013,11.6
6,2014,16.2
6,2015,12.6
6,2016,21.8
6,2017,23.4
6,2018,11.3
6,2019,19.3
6,2020,16.5
6,2021,18.1
6,2022,15.7
6,2023,16.7
6,2024,22.1
7,2001,12.9
7,2002,10.5
7,2003,13.2
7,2005,12.3
7,2006,12.0
7,2007,11.4
7,2008,10.6
7,2009,12.2
7,2010,11.3
7,2011,11.1
7,2012,12.1
7,2013,13.7
7,2014,12.1
7,2015,13.2
7,2016,15.1
7,2017,13.3
7,2018,14.2
7,2019,13.0
7,2020,12.0
7,2021,12.4
7,2022,11.5
7,2023,12.9
7,2024,13.8
8,2001,11.0
8,2002,9.9
8,2003,10.7
8,2005,10.6
8,2006,10.2
8,2007,10.7
8,2008,10.4
8,2009,10.2
8,2010,10.9
8,2011,9.6
8,2012,9.3
8,2013,9.9
8,2014,10.2
8,2015,10.6
8,2016,13.5
8,2017,12.0
8,2018,12.0
8,2019,12.9
8,2020,9.3
8,2021,10.3
8,2022,10.6
8,2023,11.7
8,2024,12.7
9,2001,7.9
9,2002,8.7
9,2003,9.2
9,2005,9.0
9,2006,9.3
9,2007,9.2
9,2008,7.5
9,2009,8.7
9,2010,8.6
9,2011,7.9
9,2012,7.5
9,2013,9.0
9,2014,10.4
9,2015,9.6
9,2016,8.8
9,2017,9.1
9,2018,8.8
9,2019,8.4
9,2020,6.2
9,2021,6.7
9,2022,7.4
9,2023,8.2
9,2024,7.8
IT,2001,10.9
IT,2002,9.9
IT,2003,11.1
IT,2005,10.8
IT,2006,10.7
IT,2007,10.6
IT,2008,10.1
IT,2009,10.4
IT,2010,10.3
IT,2011,9.8
IT,2012,9.9
IT,2013,10.5
IT,2014,10.2
IT,2015,11.0
IT,2016,12.7
IT,2017,12.4
IT,2018,11.5
IT,2019,12.4
IT,2020,10.3
IT,2021,10.7
IT,2022,10.4
IT,2023,11.8
IT,2024,12.5
ITC,2001,10.7
ITC,2002,9.7
ITC,2003,11.4
ITC,2005,10.7
ITC,2006,10.3
ITC,2007,10.3
ITC,2008,9.1
ITC,2009,9.9
ITC,2010,10.1
ITC,2011,9.1
ITC,2012,9.3
ITC,2013,9.4
ITC,2014,8.3
ITC,2015,10.0
ITC,2016,12.0
ITC,2017,11.1
ITC,2018,9.7
ITC,2019,11.0
ITC,2020,9.0
ITC,2021,9.1
ITC,2022,7.9
ITC,2023,9.7
ITC,2024,10.5
ITC1,2001,9.9
ITC1,2002,11.0
ITC1,2003,11.0
ITC1,2005,10.6
ITC1,2006,8.7
ITC1,2007,9.7
ITC1,2008,9.0
ITC1,2009,11.6
ITC1,2010,10.0
ITC1,2011,10.0
ITC1,2012,9.4
ITC1,2013,12.1
ITC1,2014,9.4
ITC1,2015,14.7
ITC1,2016,13.5
ITC1,2017,14.0
ITC1,2018,10.3
ITC1,2019,13.2
ITC1,2020,10.7
ITC1,2021,9.7
ITC1,2022,9.0
ITC1,2023,12.1
ITC1,2024,12.8
ITC2,2001,6.3
ITC2,2002,6.4
ITC2,2003,8.0
ITC2,2005,7.2
ITC2,2006,7.6
ITC2,2007,4.6
ITC2,2008,8.4
ITC2,2009,6.5
ITC2,2010,7.6
ITC2,2011,5.2
ITC2,2012,6.5
ITC2,2013,7.1
ITC2,2014,9.9
ITC2,2015,8.6
ITC2,2016,11.3
ITC2,2017,10.4
ITC2,2018,7.9
ITC2,2019,12.4
ITC2,2020,9.1
ITC2,2021,8.3
ITC2,2022,10.1
ITC2,2023,10.8
ITC2,2024,9.0
ITC3,2001,6.9
ITC3,2002,7.5
ITC3,2003,8.9
ITC3,2005,5.3
ITC3,2006,6.4
ITC3,2007,5.7
ITC3,2008,6.2
ITC3,2009,7.4
ITC3,2010,7.2
ITC3,2011,6.6
ITC3,2012,6.2
ITC3,2013,7.5
ITC3,2014,7.3
ITC3,2015,6.8
ITC3,2016,7.3
ITC3,2017,9.9
ITC3,2018,7.3
ITC3,2019,9.9
ITC3,2020,8.3
ITC3,2021,7.1
ITC3,2022,6.3
ITC3,2023,6.8
ITC3,2024,10.1
ITC4,2001,11.8
ITC4,2002,9.6
ITC4,2003,12.2
ITC4,2005,11.8
ITC4,2006,11.9
ITC4,2007,11.6
ITC4,2008,9.7
ITC4,2009,9.5
ITC4,2010,10.8
ITC4,2011,9.2
ITC4,2012,9.9
ITC4,2013,8.6
ITC4,2014,7.9
ITC4,2015,8.4
ITC4,2016,12.1
ITC4,2017,10.0
ITC4,2018,9.9
ITC4,2019,10.1
ITC4,2020,8.4
ITC4,2021,9.2
ITC4,2022,7.6
ITC4,2023,9.1
ITC4,2024,9.5
ITCD,2001,10.6
ITCD,2002,10.1
ITCD,2003,11.3
ITCD,2005,10.5
ITCD,2006,10.6
ITCD,2007,9.7
ITCD,2008,9.2
ITCD,2009,9.7
ITCD,2010,9.7
ITCD,2011,8.9
ITCD,2012,9.5
ITCD,2013,9.5
ITCD,2014,9.0
ITCD,2015,9.6
ITCD,2016,11.6
ITCD,2017,10.2
ITCD,2018,9.9
ITCD,2019,10.4
ITCD,2020,8.7
ITCD,2021,8.5
ITCD,2022,7.9
ITCD,2023,9.5
ITCD,2024,10.3
ITD,2001,10.6
ITD,2002,10.7
ITD,2003,11.2
ITD,2005,10.3
ITD,2006,11.1
ITD,2007,8.7
ITD,2008,9.3
ITD,2009,9.5
ITD,2010,9.0
ITD,2011,8.7
ITD,2012,9.7
ITD,2013,9.5
ITD,2014,10.1
ITD,2015,9.1
ITD,2016,11.0
ITD,2017,8.7
ITD,2018,10.1
ITD,2019,9.5
ITD,2020,8.1
ITD,2021,7.6
ITD,2022,8.0
ITD,2023,9.3
ITD,2024,10.0
ITD1,2001,9.8
ITD1,2002,8.1
ITD1,2003,8.1
ITD1,2005,3.9
ITD1,2006,9.3
ITD1,2007,8.7
ITD1,2008,7.4
ITD1,2009,6.6
ITD1,2010,3.5
ITD1,2011,5.8
ITD1,2012,4.7
ITD1,2013,5.8
ITD1,2014,6.3
ITD1,2015,4.9
ITD1,2016,4.8
ITD1,2017,2.2
ITD1,2018,4.2
ITD1,2019,5.2
ITD1,2020,3.7
ITD1,2021,5.7
ITD1,2022,5.1
ITD1,2023,5.7
ITD1,2024,4.3
ITD2,2001,7.4
ITD2,2002,8.7
ITD2,2003,6.6
ITD2,2005,11.0
ITD2,2006,10.9
ITD2,2007,8.0
ITD2,2008,7.7
ITD2,2009,8.0
ITD2,2010,9.2
ITD2,2011,4.8
ITD2,2012,7.2
ITD2,2013,7.4
ITD2,2014,7.9
ITD2,2015,7.3
ITD2,2016,8.2
ITD2,2017,5.1
ITD2,2018,7.7
ITD2,2019,6.8
ITD2,2020,6.8
ITD2,2021,8.8
ITD2,2022,10.2
ITD2,2023,5.9
ITD2,2024,9.5
ITD3,2001,12.3
ITD3,2002,11.9
ITD3,2003,11.0
ITD3,2005,14.5
ITD3,2006,12.3
ITD3,2007,10.2
ITD3,2008,11.2
ITD3,2009,10.2
ITD3,2010,10.0
ITD3,2011,9.2
ITD3,2012,11.5
ITD3,2013,10.8
ITD3,2014,11.4
ITD3,2015,10.6
ITD3,2016,14.2
ITD3,2017,9.2
ITD3,2018,12.8
ITD3,2019,11.0
ITD3,2020,9.3
ITD3,2021,8.4
ITD3,2022,9.4
ITD3,2023,10.9
ITD3,2024,11.2
ITD4,2001,11.2
ITD4,2002,9.1
ITD4,2003,11.5
ITD4,2005,6.7
ITD4,2006,8.0
ITD4,2007,8.3
ITD4,2008,7.3
ITD4,2009,7.8
ITD4,2010,8.2
ITD4,2011,9.3
ITD4,2012,7.9
ITD4,2013,10.3
ITD4,2014,11.6
ITD4,2015,7.4
ITD4,2016,7.6
ITD4,2017,6.9
ITD4,2018,6.7
ITD4,2019,9.7
ITD4,2020,10.4
ITD4,2021,8.1
ITD4,2022,8.2
ITD4,2023,8.1
ITD4,2024,9.4
ITD5,2001,9.0
ITD5,2002,10.4
ITD5,2003,12.1
ITD5,2005,7.5
ITD5,2006,11.0
ITD5,2007,7.4
ITD5,2008,8.3
ITD5,2009,9.8
ITD5,2010,8.7
ITD5,2011,8.6
ITD5,2012,9.1
ITD5,2013,8.7
ITD5,2014,8.9
ITD5,2015,8.7
ITD5,2016,9.9
ITD5,2017,10.0
ITD5,2018,9.1
ITD5,2019,8.7
ITD5,2020,6.9
ITD5,2021,6.8
ITD5,2022,6.6
ITD5,2023,8.9
ITD5,2024,9.6
ITDA,2001,8.5
ITDA,2002,8.5
ITDA,2003,7.3
ITDA,2005,7.6
ITDA,2006,10.2
ITDA,2007,8.3
ITDA,2008,7.6
ITDA,2009,7.3
ITDA,2010,6.5
ITDA,2011,5.3
ITDA,2012,6.0
ITDA,2013,6.6
ITDA,2014,7.1
ITDA,2015,6.1
ITDA,2016,6.5
ITDA,2017,3.7
ITDA,2018,6.0
ITDA,2019,6.0
ITDA,2020,5.3
ITDA,2021,7.3
ITDA,2022,7.7
ITDA,2023,5.8
ITDA,2024,6.9
ITE,2001,10.5
ITE,2002,10.5
ITE,2003,10.7
ITE,2005,10.6
ITE,2006,12.1
ITE,2007,10.0
ITE,2008,10.3
ITE,2009,9.6
ITE,2010,10.2
ITE,2011,11.1
ITE,2012,9.7
ITE,2013,10.3
ITE,2014,9.1
ITE,2015,10.9
ITE,2016,12.3
ITE,2017,11.8
ITE,2018,11.3
ITE,2019,11.5
ITE,2020,10.0
ITE,2021,10.8
ITE,2022,9.7
ITE,2023,12.2
ITE,2024,11.7
ITE1,2001,10.3
ITE1,2002,11.6
ITE1,2003,12.0
ITE1,2005,7.5
ITE1,2006,10.3
ITE1,2007,9.7
ITE1,2008,9.2
ITE1,2009,9.6
ITE1,2010,8.8
ITE1,2011,11.0
ITE1,2012,10.2
ITE1,2013,10.9
ITE1,2014,7.8
ITE1,2015,9.9
ITE1,2016,10.9
ITE1,2017,8.4
ITE1,2018,12.7
ITE1,2019,11.1
ITE1,2020,9.2
ITE1,2021,9.6
ITE1,2022,10.5
ITE1,2023,10.7
ITE1,2024,11.5
ITE2,2001,9.0
ITE2,2002,10.0
ITE2,2003,9.5
ITE2,2005,12.8
ITE2,2006,10.5
ITE2,2007,14.5
ITE2,2008,9.1
ITE2,2009,13.3
ITE2,2010,11.8
ITE2,2011,12.0
ITE2,2012,12.7
ITE2,2013,10.1
ITE2,2014,17.0
ITE2,2015,15.6
ITE2,2016,13.7
ITE2,2017,13.7
ITE2,2018,10.7
ITE2,2019,12.8
ITE2,2020,8.0
ITE2,2021,11.9
ITE2,2022,14.8
ITE2,2023,12.0
ITE2,2024,13.6
ITE3,2001,5.3
ITE3,2002,5.3
ITE3,2003,9.4
ITE3,2005,8.2
ITE3,2006,8.4
ITE3,2007,7.3
ITE3,2008,9.0
ITE3,2009,7.2
ITE3,2010,7.1
ITE3,2011,8.6
ITE3,2012,5.9
ITE3,2013,8.4
ITE3,2014,8.6
ITE3,2015,7.7
ITE3,2016,9.9
ITE3,2017,10.2
ITE3,2018,7.7
ITE3,2019,11.0
ITE3,2020,8.4
ITE3,2021,9.0
ITE3,2022,9.0
ITE3,2023,11.7
ITE3,2024,10.2
ITE4,2001,12.3
ITE4,2002,11.2
ITE4,2003,10.3
ITE4,2005,13.0
ITE4,2006,14.5
ITE4,2007,10.3
ITE4,2008,11.6
ITE4,2009,9.7
ITE4,2010,11.6
ITE4,2011,11.6
ITE4,2012,9.9
ITE4,2013,10.4
ITE4,2014,8.8
ITE4,2015,11.7
ITE4,2016,13.6
ITE4,2017,14.1
ITE4,2018,11.5
ITE4,2019,11.7
ITE4,2020,11.1
ITE4,2021,12.0
ITE4,2022,8.7
ITE4,2023,13.2
ITE4,2024,11.9
ITF,2001,11.9
ITF,2002,10.1
ITF,2003,11.9
ITF,2005,11.9
ITF,2006,11.1
ITF,2007,12.4
ITF,2008,11.9
ITF,2009,12.0
ITF,2010,11.8
ITF,2011,10.5
ITF,2012,10.3
ITF,2013,12.4
ITF,2014,13.1
ITF,2015,13.7
ITF,2016,15.6
ITF,2017,16.0
ITF,2018,15.1
ITF,2019,16.4
ITF,2020,13.7
ITF,2021,14.7
ITF,2022,16.0
ITF,2023,15.1
ITF,2024,16.9
ITF1,2001,7.1
ITF1,2002,7.8
ITF1,2003,6.1
ITF1,2005,8.9
ITF1,2006,7.4
ITF1,2007,6.3
ITF1,2008,7.2
ITF1,2009,7.7
ITF1,2010,7.8
ITF1,2011,8.6
ITF1,2012,8.1
ITF1,2013,7.3
ITF1,2014,6.3
ITF1,2015,7.9
ITF1,2016,7.7
ITF1,2017,10.0
ITF1,2018,8.7
ITF1,2019,9.4
ITF1,2020,6.5
ITF1,2021,9.8
ITF1,2022,10.7
ITF1,2023,6.6
ITF1,2024,10.7
ITF2,2001,3.8
ITF2,2002,5.6
ITF2,2003,9.5
ITF2,2005,9.9
ITF2,2006,6.5
ITF2,2007,9.1
ITF2,2008,5.6
ITF2,2009,5.2
ITF2,2010,8.5
ITF2,2011,8.9
ITF2,2012,5.6
ITF2,2013,6.0
ITF2,2014,5.2
ITF2,2015,7.1
ITF2,2016,7.4
ITF2,2017,8.1
ITF2,2018,8.8
ITF2,2019,13.2
ITF2,2020,8.9
ITF2,2021,7.6
ITF2,2022,11.9
ITF2,2023,11.1
ITF2,2024,10.1
ITF3,2001,15.5
ITF3,2002,12.6
ITF3,2003,15.7
ITF3,2005,14.5
ITF3,2006,13.4
ITF3,2007,19.0
ITF3,2008,17.2
ITF3,2009,16.3
ITF3,2010,14.8
ITF3,2011,12.4
ITF3,2012,10.1
ITF3,2013,13.8
ITF3,2014,15.2
ITF3,2015,18.1
ITF3,2016,22.0
ITF3,2017,21.1
ITF3,2018,21.2
ITF3,2019,22.6
ITF3,2020,19.6
ITF3,2021,20.7
ITF3,2022,20.8
ITF3,2023,21.9
ITF3,2024,22.0
ITF4,2001,9.5
ITF4,2002,7.7
ITF4,2003,7.9
ITF4,2005,8.8
ITF4,2006,9.4
ITF4,2007,6.5
ITF4,2008,6.8
ITF4,2009,7.7
ITF4,2010,8.0
ITF4,2011,7.9
ITF4,2012,8.4
ITF4,2013,9.8
ITF4,2014,11.5
ITF4,2015,10.3
ITF4,2016,10.6
ITF4,2017,12.3
ITF4,2018,10.4
ITF4,2019,10.9
ITF4,2020,10.2
ITF4,2021,8.6
ITF4,2022,10.0
ITF4,2023,10.5
ITF4,2024,12.4
ITF5,2001,9.5
ITF5,2002,9.3
ITF5,2003,8.3
ITF5,2005,13.2
ITF5,2006,10.4
ITF5,2007,11.2
ITF5,2008,9.0
ITF5,2009,10.5
ITF5,2010,13.5
ITF5,2011,9.9
ITF5,2012,12.1
ITF5,2013,13.8
ITF5,2014,12.0
ITF5,2015,11.1
ITF5,2016,11.2
ITF5,2017,11.5
ITF5,2018,16.8
ITF5,2019,14.4
ITF5,2020,8.5
ITF5,2021,9.3
ITF5,2022,9.4
ITF5,2023,9.2
ITF5,2024,17.1
ITF6,2001,12.2
ITF6,2002,10.6
ITF6,2003,14.7
ITF6,2005,13.1
ITF6,2006,11.8
ITF6,2007,11.9
ITF6,2008,12.6
ITF6,2009,13.3
ITF6,2010,14.1
ITF6,2011,12.4
ITF6,2012,16.3
ITF6,2013,18.1
ITF6,2014,16.9
ITF6,2015,14.5
ITF6,2016,16.3
ITF6,2017,16.6
ITF6,2018,12.2
ITF6,2019,16.7
ITF6,2020,11.7
ITF6,2021,16.4
ITF6,2022,21.6
ITF6,2023,14.2
ITF6,2024,17.2
ITFG,2001,11.7
ITFG,2002,9.3
ITFG,2003,11.1
ITFG,2005,11.4
ITFG,2006,9.9
ITFG,2007,12.3
ITFG,2008,11.2
ITFG,2009,12.1
ITFG,2010,11.5
ITFG,2011,10.3
ITFG,2012,10.6
ITFG,2013,12.3
ITFG,2014,12.7
ITFG,2015,13.1
ITFG,2016,14.5
ITFG,2017,16.1
ITFG,2018,14.2
ITFG,2019,16.1
ITFG,2020,13.0
ITFG,2021,13.8
ITFG,2022,14.6
ITFG,2023,15.0
ITFG,2024,16.2
ITG,2001,11.2
ITG,2002,7.8
ITG,2003,9.6
ITG,2005,10.5
ITG,2006,7.4
ITG,2007,12.2
ITG,2008,9.8
ITG,2009,12.2
ITG,2010,10.8
ITG,2011,9.9
ITG,2012,11.2
ITG,2013,12.1
ITG,2014,11.8
ITG,2015,11.8
ITG,2016,12.5
ITG,2017,16.3
ITG,2018,12.4
ITG,2019,15.6
ITG,2020,11.5
ITG,2021,11.8
ITG,2022,11.7
ITG,2023,14.7
ITG,2024,14.9
ITG1,2001,12.4
ITG1,2002,7.0
ITG1,2003,10.3
ITG1,2005,11.0
ITG1,2006,7.0
ITG1,2007,13.1
ITG1,2008,10.2
ITG1,2009,13.2
ITG1,2010,11.4
ITG1,2011,10.9
ITG1,2012,11.1
ITG1,2013,13.9
ITG1,2014,12.8
ITG1,2015,13.3
ITG1,2016,12.4
ITG1,2017,17.5
ITG1,2018,12.3
ITG1,2019,17.0
ITG1,2020,13.3
ITG1,2021,13.0
ITG1,2022,13.8
ITG1,2023,16.6
ITG1,2024,15.6
ITG2,2001,7.6
ITG2,2002,10.0
ITG2,2003,7.7
ITG2,2005,8.9
ITG2,2006,8.4
ITG2,2007,9.4
ITG2,2008,8.5
ITG2,2009,9.4
ITG2,2010,8.8
ITG2,2011,7.0
ITG2,2012,11.5
ITG2,2013,7.1
ITG2,2014,9.1
ITG2,2015,7.8
ITG2,2016,12.7
ITG2,2017,12.9
ITG2,2018,12.8
ITG2,2019,11.9
ITG2,2020,6.4
ITG2,2021,8.3
ITG2,2022,5.7
ITG2,2023,9.6
ITG2,2024,13.0
